gene_id	Gene_length	SRR7945367	SRR7945368	SRR7945369	SRR7945370	SRR7945371	SRR7945372	SRR7945373	SRR7945374	SRR7945375	SRR7945376	SRR7945377	SRR7945378	SRR7945379	SRR7945380	SRR7945381	SRR7945382
LBRM2903_000005000.1	999	1	1	2	3	2	2	4	0	3	6	3	0	2	2	1	3
LBRM2903_000005300.1	561	0	0	1	4	2	4	0	0	9	9	12	5	18	5	3	0
LBRM2903_000005400.1	1998	2	1	3	2	0	1	2	0	0	1	0	0	3	0	0	1
LBRM2903_000005500.1	717	6	8	6	0	2	7	4	0	6	6	6	1	4	4	4	5
LBRM2903_000005600.1	1854	44	24	28	17	25	37	5	7	326	324	229	236	246	209	28	42
LBRM2903_000005700.1	693	13	17	14	14	19	15	10	10	17	17	19	16	14	7	11	11
LBRM2903_000006000.1	588	316	294	202	204	243	228	64	78	714	764	733	623	581	614	221	253
LBRM2903_000006100.1	1722	22	28	12	17	23	20	20	20	11	8	19	12	19	12	15	24
LBRM2903_000006200.1	1197	203	186	149	129	165	153	113	116	242	226	184	163	168	180	172	169
LBRM2903_000006400.1	351	2	2	0	5	1	2	1	1	3	3	3	0	7	6	4	0
LBRM2903_000006500.1	243	10	10	7	13	5	6	4	7	1	5	2	2	4	2	10	8
LBRM2903_000006600.1	1287	32	25	23	11	24	15	3	7	226	208	130	145	139	148	28	22
LBRM2903_000006700.1	2307	268	317	258	296	281	256	333	385	121	110	89	134	114	90	278	286
LBRM2903_000006800.1	579	63	46	35	35	35	35	42	54	64	34	37	37	39	34	49	64
LBRM2903_000006900.1	801	66	84	36	40	89	35	35	30	99	57	69	71	51	23	39	52
LBRM2903_000007100.1	1014	2	4	3	4	6	2	2	2	0	4	0	0	2	4	0	0
LBRM2903_000007200.1	417	6	6	13	10	10	8	1	1	53	56	41	46	56	41	18	12
LBRM2903_000007300.1	2523	385	386	267	336	328	301	217	156	257	253	238	231	228	210	321	335
LBRM2903_000007400.1	2499	257	235	216	217	203	230	122	121	149	161	170	145	119	107	178	219
